P  Best Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
       31.622777       1823.3974       1819.5823       1805.1048       1837.9984       1795.4173       1852.2767
       26.302680       1821.5631       1818.0328       1803.8450       1836.5959       1794.5937       1850.5025
       21.877616       1820.0333       1816.6681       1803.1307       1835.5163       1793.6061       1849.2624
       18.197009       1818.7577       1815.8580       1801.9429       1834.5273       1792.8785       1848.1659
       15.135612       1817.6943       1815.0529       1800.8177       1833.2100       1791.9196       1847.3605
       12.589254       1816.8086       1814.4335       1800.2361       1832.5230       1791.5276       1846.7733
       10.471285       1816.0709       1814.0741       1799.8085       1831.8664       1790.9489       1846.2508
       8.7096359       1815.4567       1813.5835       1799.3820       1831.5045       1790.2857       1845.8874
       7.2443596       1814.9452       1813.2381       1799.0542       1831.1180       1790.1899       1845.5224
       6.0255959       1814.5195       1812.9320       1798.7923       1830.7571       1790.0193       1845.2839
       5.0118723       1814.1652       1812.6692       1798.5711       1830.4226       1789.5477       1845.1546
       4.1686938       1813.8703       1812.4142       1798.3407       1830.1471       1789.3445       1844.7843
       3.4673685       1813.6249       1812.2351       1798.1502       1829.8488       1789.1105       1844.5640
       2.8840315       1813.4208       1812.0123       1798.0254       1829.6080       1788.9424       1844.2197
       2.3988329       1813.2509       1811.7649       1797.7574       1829.2543       1788.6812       1844.0420
       1.9952623       1813.1096       1811.5571       1797.3170       1829.1128       1788.0419       1843.8287
       1.6595869       1812.9920       1811.2331       1796.5980       1828.7793       1787.4896       1843.1562
       1.3803843       1812.8942       1810.6584       1795.7613       1828.4852       1786.1604       1842.8739
       1.1481536       1812.8128       1810.1428       1794.8695       1828.2825       1783.9494       1842.8119
      0.95499259       1812.7451       1809.6482       1794.0923       1827.7277       1781.5480       1842.0249
      0.79432823       1812.6888       1808.7889       1792.9085       1827.3769       1775.2906       1841.8073
      0.66069345       1812.6419       1808.0471       1791.4487       1826.8516       1766.4481       1841.2714
      0.54954087       1812.6030       1807.3531       1788.5228       1826.1938       1753.1018       1841.1619
      0.45708819       1812.5706       1806.1630       1784.6600       1825.6796       1736.6986       1840.2596
      0.38018940       1812.5436       1805.1626       1779.5878       1825.0106       1716.2407       1838.9137
      0.31622777       1812.5207       1803.2813       1770.2103       1824.1848       1694.8810       1838.2050
      0.26302680       1812.4986       1800.9017       1757.7979       1822.1454       1671.2460       1837.0540
      0.21877616       1812.4684       1798.2055       1740.9588       1820.5262       1646.0164       1835.8438
      0.18197009       1812.4072       1794.0311       1722.7923       1818.2404       1618.9306       1834.6340
      0.15135612       1812.1804       1788.8769       1702.3041       1816.2746       1596.3378       1832.4854
      0.12589254       1811.5775       1781.0207       1680.1851       1813.8780       1573.6509       1829.3867
      0.10471285       1810.3029       1769.4327       1657.5541       1810.8599       1553.1071       1827.5854
     0.087096359       1808.0420       1754.2704       1631.3359       1806.9783       1532.7641       1824.9749
     0.072443596       1804.1258       1736.6739       1605.2497       1801.4407       1505.8979       1820.3339
     0.060255959       1797.3326       1714.0572       1581.7785       1794.0874       1488.6728       1815.2611
     0.050118723       1787.8719       1691.4909       1557.5598       1783.2615       1473.0081       1809.1184
     0.041686938       1775.7097       1666.4695       1536.8982       1770.0541       1458.0004       1799.7587
     0.034673685       1760.9530       1641.8781       1517.3784       1754.7256       1438.1607       1788.2551
     0.028840315       1743.1790       1616.5782       1500.8786       1736.5994       1426.6051       1773.4061
     0.023988329       1722.0752       1592.2660       1486.3938       1716.6622       1401.3618       1757.1846
     0.019952623       1699.4750       1569.7486       1467.1499       1695.2351       1380.0403       1738.8323
     0.016595869       1675.9664       1546.6001       1449.5911       1671.7537       1360.5487       1719.3586
     0.013803843       1652.0802       1525.7094       1434.9806       1646.9356       1338.4441       1699.4728
     0.011481536       1627.8778       1508.0120       1419.6646       1624.9729       1322.6904       1679.2923
    0.0095499259       1603.6384       1493.4731       1405.5183       1601.0742       1300.3840       1657.7596
    0.0079432823       1580.6640       1479.3178       1392.1022       1580.0680       1287.3754       1635.4038
    0.0066069345       1559.1960       1468.0747       1381.3257       1557.7007       1271.9313       1617.0999
    0.0054954087       1539.3885       1458.4607       1368.5599       1534.5781       1250.5582       1595.9920
    0.0045708819       1521.1881       1448.5469       1358.8981       1516.4899       1225.6678       1576.5508
    0.0038018940       1504.6472       1440.0554       1348.6318       1501.6091       1214.0038       1558.9307
    0.0031622777       1490.0501       1432.2172       1338.4978       1488.8469       1201.1018       1542.6542
    0.0026302680       1477.2727       1425.6067       1326.9953       1480.9456       1187.2664       1527.7715
    0.0021877616       1466.1740       1420.6073       1319.4035       1474.3863       1173.4822       1515.1105
    0.0018197009       1456.5810       1414.3989       1312.3038       1468.5159       1160.8791       1505.9968
    0.0015135612       1448.3607       1409.2416       1306.3361       1463.8771       1153.7813       1498.4821
    0.0012589254       1441.4066       1405.4956       1301.9847       1460.6523       1148.8672       1495.3249
    0.0010471285       1435.5501       1402.9301       1299.1395       1457.8743       1141.8005       1490.8646
   0.00087096359       1430.6397       1400.3228       1295.3202       1455.2463       1138.1120       1489.5997
   0.00072443596       1426.5410       1397.7439       1291.2365       1454.1975       1134.0489       1486.0871
   0.00060255959       1423.1400       1396.0534       1289.3685       1453.4901       1128.8330       1485.6025
   0.00050118723       1420.3271       1394.7025       1287.5286       1455.8661       1124.4375       1484.9123
   0.00041686938       1418.0066       1393.8163       1286.2634       1455.0762       1120.7410       1484.4669
   0.00034673685       1416.0972       1392.9367       1285.1398       1454.2567       1117.6374       1483.9354
   0.00028840315       1414.5324       1392.2900       1290.7818       1453.6960       1115.8923       1493.2239
   0.00023988329       1413.2556       1391.6686       1289.0378       1453.2046       1114.7629       1495.1618
   0.00019952623       1412.2122       1391.3302       1287.4547       1452.9058       1113.3569       1495.9143
   0.00016595869       1411.3610       1390.8509       1287.1483       1453.1022       1112.1873       1494.9105
   0.00013803843       1410.6679       1390.4889       1286.4059       1453.1156       1111.2150       1495.6645
   0.00011481536       1410.1057       1390.6186       1285.7964       1452.8534       1110.4079       1495.5836
   9.5499259e-05       1409.6517       1390.5303       1285.2964       1452.9800       1109.7380       1495.6887
   7.9432823e-05       1409.2834       1390.4201       1284.8882       1452.9367       1109.1822       1496.7070
   6.6069345e-05       1408.9852       1390.3374       1284.5541       1452.8199       1108.7213       1496.7095
   5.4954087e-05       1408.7441       1390.2524       1284.2805       1452.7431       1108.3392       1496.7119
   4.5708819e-05       1408.5501       1390.1444       1283.9397       1452.6992       1108.0229       1496.7140
   3.8018940e-05       1408.3947       1390.1322       1283.5848       1452.6862       1107.7608       1496.7160
   3.1622777e-05       1408.2695       1390.0962       1283.2929       1452.6556       1107.5437       1496.8011
   2.6302680e-05       1408.1689       1390.0080       1283.0525       1452.6229       1107.3639       1496.8040
   2.1877616e-05       1408.0880       1389.8725       1282.8545       1452.6154       1107.2150       1496.8067
   1.8197009e-05       1408.0235       1389.9432       1282.6915       1452.6110       1107.0919       1496.8091
   1.5135612e-05       1407.9723       1390.0799       1282.5572       1452.6666       1106.9900       1496.8113
   1.2589254e-05       1407.9314       1390.0835       1282.4470       1452.8469       1106.9056       1496.8133
   1.0471285e-05       1407.8988       1390.0816       1282.3564       1452.9792       1106.8358       1496.8151
   8.7096359e-06       1407.8728       1390.0798       1282.2818       1452.9969       1106.7780       1496.8166
   7.2443596e-06       1407.8524       1390.0801       1282.2205       1453.0130       1106.7302       1496.8181
   6.0255959e-06       1407.8363       1390.0823       1282.1969       1453.0273       1106.6907       1496.8193
   5.0118723e-06       1407.8236       1390.0855       1282.1916       1453.0400       1106.6580       1496.8204
   4.1686938e-06       1407.8137       1390.0891       1282.1873       1453.0511       1106.6310       1496.8213
   3.4673685e-06       1407.8058       1390.3738       1282.1838       1453.0609       1106.6086       1496.8222
   2.8840315e-06       1407.7998       1390.8310       1282.1809       1453.3035       1106.5901       1496.8229
   2.3988329e-06       1407.7951       1391.2226       1282.1785       1453.3053       1106.5748       1496.8235
