wlBest Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
       1.9992003     0.025432239     0.025460216     0.025438594     0.025485166     0.025424095     0.025506882
       1.9984013     0.025432465     0.025460222     0.025438675     0.025485696     0.025424342     0.025506830
       1.9976029     0.025432691     0.025460249     0.025438695     0.025485650     0.025424631     0.025506784
       1.9968051     0.025432254     0.025460106     0.025438729     0.025485213     0.025424553     0.025506733
       1.9960080     0.025431814     0.025459751     0.025438638     0.025485005     0.025424633     0.025506682
       1.9952115     0.025432890     0.025460306     0.025439289     0.025485337     0.025425507     0.025506164
       1.9944156     0.025433493     0.025460794     0.025439499     0.025485593     0.025426176     0.025506054
       1.9936204     0.025433390     0.025460884     0.025439564     0.025485310     0.025426158     0.025505486
       1.9928258     0.025432863     0.025460993     0.025439631     0.025485431     0.025426107     0.025505565
       1.9920319     0.025432154     0.025461196     0.025439953     0.025485928     0.025426606     0.025506144
       1.9912386     0.025431621     0.025461130     0.025439717     0.025485408     0.025426480     0.025505636
       1.9904459     0.025431036     0.025460963     0.025439541     0.025485105     0.025425946     0.025505455
       1.9896538     0.025430319     0.025460488     0.025439357     0.025484618     0.025425176     0.025505371
       1.9888624     0.025429467     0.025460019     0.025438964     0.025483845     0.025424646     0.025504428
       1.9880716     0.025428519     0.025459493     0.025438316     0.025483474     0.025423998     0.025503606
       1.9872814     0.025428509     0.025459577     0.025438933     0.025482655     0.025423887     0.025503541
       1.9864919     0.025428634     0.025459877     0.025439198     0.025482513     0.025424300     0.025502875
       1.9857029     0.025428740     0.025459801     0.025439380     0.025482434     0.025424330     0.025502562
       1.9849146     0.025429616     0.025459963     0.025439605     0.025482427     0.025425028     0.025503354
       1.9841270     0.025431463     0.025460474     0.025440220     0.025482909     0.025425635     0.025503584
       1.9833399     0.025431740     0.025460868     0.025441026     0.025483402     0.025426370     0.025503590
       1.9825535     0.025431430     0.025461815     0.025441917     0.025484073     0.025426747     0.025503548
       1.9817677     0.025432784     0.025462222     0.025442422     0.025484662     0.025427965     0.025503972
       1.9809826     0.025434254     0.025462772     0.025442677     0.025485257     0.025428542     0.025504317
       1.9801980     0.025436021     0.025463051     0.025443197     0.025485623     0.025429225     0.025504720
       1.9794141     0.025437127     0.025463309     0.025443492     0.025485870     0.025429742     0.025504957
       1.9786308     0.025437709     0.025463563     0.025444112     0.025485967     0.025429881     0.025505016
       1.9778481     0.025437742     0.025463889     0.025444209     0.025486276     0.025430005     0.025504796
       1.9770660     0.025438066     0.025464400     0.025444708     0.025486621     0.025430438     0.025504816
       1.9762846     0.025441929     0.025466622     0.025447167     0.025488520     0.025433289     0.025505856
       1.9755038     0.025444691     0.025468115     0.025449115     0.025489193     0.025435481     0.025506143
       1.9747235     0.025445587     0.025468590     0.025449943     0.025489413     0.025436213     0.025506190
       1.9739439     0.025447146     0.025469351     0.025450603     0.025489997     0.025437651     0.025506728
       1.9731650     0.025449083     0.025470395     0.025452109     0.025491004     0.025438630     0.025507274
       1.9723866     0.025449829     0.025470649     0.025452221     0.025491275     0.025439112     0.025507626
       1.9716088     0.025450358     0.025470705     0.025452309     0.025491411     0.025439524     0.025507748
       1.9708317     0.025450452     0.025471041     0.025453003     0.025491596     0.025439723     0.025508194
       1.9700552     0.025452243     0.025471836     0.025453783     0.025492062     0.025441074     0.025507995
       1.9692792     0.025456379     0.025473486     0.025455602     0.025492441     0.025442867     0.025508678
       1.9685039     0.025458865     0.025474425     0.025457101     0.025493120     0.025444108     0.025509587
       1.9677292     0.025460563     0.025475266     0.025458271     0.025493921     0.025444816     0.025510945
       1.9669552     0.025464170     0.025476853     0.025460004     0.025495809     0.025446251     0.025513623
       1.9661817     0.025467357     0.025478742     0.025461187     0.025498271     0.025447582     0.025514815
